Stock,Expected_Return
SPVI.BK,0.00410232
HYDRO.BK,0.003292129
BOL.BK,0.002698045
YUASA.BK,0.002045623
AUCT.BK,0.001412629
CHO.BK,0.001377636
PHOL.BK,0.001101328
ECF.BK,0.001016338
NEWS.BK,0.00089056
PICO.BK,0.000715868
ARROW.BK,0.000653865
TMILL.BK,0.00061911
TAPAC.BK,0.000526109
UBIS.BK,0.000503036
PSG.BK,0.000421282
NPK.BK,0.000416782
FPI.BK,0.000351198
PPM.BK,0.000231513
KGEN.BK,0.000230304
CMO.BK,0.000151934
